name,hall,stand,industry,email,website,address,country,about,url
2J Antennas,2,2C-05,,info@e-kom.com,www.2j-antennas.com,Stefanikova 61 085 01 Bardejov Slovakia,Slovakia,"2J Antennas’ vision is to be a global, world-class trusted leader in antenna solutions that aims to deliver advanced technologies for the connected world. We innovate and offer high-quality products and services with cutting-edge technologies to meet the rapidly evolving wireless industry catering to 5G, 4G (LTE), 3G, 2G, WiFi, Iridium communications, GPS/GNSS/BeiDou frequencies and more for the automotive, navigation, IoT, marine, telematic, automation, M2M and other markets.",https://sahaexpo.com/en/katilimci/2j-antennas
"3D Systems, Inc. Corporation",7,7A-15,,moreinfo@3dsystems.com,www.3dsystems.com,"3D Systems Corporation 333 Three D Systems Circle Rock Hill, SC 29730",States,"More than 35 years ago, Chuck Hull’s curiosity and desire to improve the way products were designed and manufactured gave birth to 3D printing, 3D Systems, and the additive manufacturing industry. Since then, that same spark continues to ignite the 3D Systems team as we work side-by-side with our customers to change the way industries innovate. As a full-service solutions partner, we deliver industry-leading 3D printing technologies, materials and software to high-value markets such as medical and dental, aerospace, space & defence, transportation & motorsports, AI infrastructure, and durable goods. Each application-specific solution is powered by the expertise and passion of our employees who endeavor to achieve our shared goal of Transforming Manufacturing for a Better Future.",https://sahaexpo.com/en/katilimci/3d-systems-inc-corporation
3DLAB (ARCWAY),3,3E-09,,info@voksel.com.tr,www.voksel.com.tr,"Turgut Özal Mh. Tonguç Baba Cd. 21/11 Esenyurt, İstanbul, 34513",Türkiye,,https://sahaexpo.com/en/katilimci/3dlab-arcway
3DWOVENS,6,6F-01b,"Composite Material Technologies, Aircraft and Aviation Technologies, Unmanned Systems",info@3dwovens.com,www.3dwovens.com,Yenibosna Merkez Mah. Kor Sk. No:9 Bahçelievler İstanbul,Türkiye,"3DWovens: Advanced 3D Composite Solutions for Defense & Aerospace At 3DWovens, we manufacture innovative composite components that push the boundaries of the defense and aerospace industries. Through our advanced 3D weaving technology, we unite the lightweight characteristics, structural integrity, and extreme durability required by your critical projects into a single structure. Our Advanced Manufacturing Capabilities: FPV Drone Frame and Landing Gears Carbon-Carbon (C/C) Preforms: Specially woven, high-performance thermal protection shields, nozzle, and throat preforms designed for critical systems exposed to extreme temperatures. Near-Net Shape Profiles: Structural carbon profiles with high mechanical strength in T, Pi (π), X, and I cross-sections, minimizing machining costs and material waste. Quartz Preforms: Optimized for radomes and advanced aerospace systems, offering superior electromagnetic transparency and high thermal tolerance. 3D Composite Billets: Solid composite structures tailored for advanced engineering applications that require precise machinability and versatile mechanical performance. UAV and UCAV Components: Structural parts engineered to provide maximum impact absorption capacity at the absolute minimum weight. We are ready to solve your toughest engineering challenges and become your reliable solution partner in visionary projects. Visit our website to explore our manufacturing capabilities and technology in detail.",https://sahaexpo.com/en/katilimci/3dwovens
3EEOS,4,4F-13,Optical Material and Electro-optic Device Technologies,support@3eeos.com,www.3eeos.com,"ASO 1.Org. San. Bölg. Anadolu Cad. No:, D:5, 06935 Sincan/Ankara",Türkiye,"For over 20 years, 3E has stood at the intersection of dedication, innovation, and excellence—delivering best-in-class solutions where failure is not an option. Trusted by NATO forces, we engineer distinguished products driven by a passion for precision and performance.",https://sahaexpo.com/en/katilimci/3eeos
3L Coils,2,2D-14,,info@demsay.com,www.demsay.com/distributor/3l-coils,Sahil Mah. Marmara Cad. Çayırlı Sok. No:2/1 Beylikdüzü/İSTANBUL,Taipei,"3L Coils is a well-established manufacturer founded in Taiwan in 1976, specializing in the production of coils, transformers, and magnetic components. The company stands out for its extensive product portfolio, which includes toroidal coils, power transformers, high-frequency coils, EMI filters, and custom magnetic solutions. These products are reliably used across various sectors, including automotive electronics, telecommunications infrastructure, industrial automation systems, medical devices, and consumer electronics. Committed to high-quality standards, 3L Coils develops customized solutions tailored to customer needs and positions itself as a reliable supplier in the global market. Thanks to robust R&D efforts and modern production technologies, the company adds value to engineering projects by offering high-performance, long-lasting, and energy-efficient products.",https://sahaexpo.com/en/katilimci/3l-coils
3M,1,1D-10d,"Communication, Command Control, and Information Technologies",bozgenalp@mmm.com,www.3m.com.tr,"3M Turkey, Barboros Mah. Mor Sümbül Sok.No: 7/3F 27-51 Nidakule Ataşehir Güney, 34746 | Ataşehir İstanbul, Türkiye",States,"For over 75 years, 3M has been helping increase operational efficiency and mission safety in high-risk environments with innovative protection solutions for military personnel.",https://sahaexpo.com/en/katilimci/3m
3PEAK,2,2D-13e,,info@ozdisan.com,www.ozdisan.com/ureticiler/3peak,,States,"3PEAK is dedicated to the research and development of high-performance, high-quality, and highly reliable integrated circuit products—including signal chain, power management, and mixed-signal front-ends—to provide comprehensive solutions to its customers. The company’s products serve a wide range of applications, including the communications, industrial, consumer, and automotive sectors. Founded in 2012, 3PEAK was listed on the SSE STAR Market on September 21, 2020. 3PEAK’s headquarters are located in Suzhou, China, and Plano, Texas, USA.",https://sahaexpo.com/en/katilimci/3peak
4iG Space & Defence Technologies,1,1E-10,"Digital Transformation and Automation Technologies, Space Technologies and Satellite Systems, Communication, Command Control, and Information Technologies",space_technology@4ig.hu,www.4igsdt.hu,"Hungary, Budapest, 1013, 39. Krisztina Boulevard,",Hungary,"4iG S&D is a Hungarian company operating as a member of the 4iG Group, specializing in the research and development, system integration and international commercialization of defence and space technologies. The company’s portfolio is built on five key domains: Space, Aero, Land Systems, Weapons & Ammunition, and Cyber & Defence Digitalization. Through these capabilities, 4iG S&D contributes to the development of NATO-compatible defence capabilities with innovative solutions, while serving as a bridge between the Hungarian technology sector and the global defence industry. The company is a key player in Hungary’s defence innovation ecosystem and actively participates in the development of dual-use technologies with potential civilian applications.",https://sahaexpo.com/en/katilimci/4ig-space-defence-technologies
AAES,2,2D-01a,"Vehicle-Mounted Equipment Systems, Aircraft and Aviation Technologies, Unmanned Systems, Design, Analysis, and Engineering Services",info@aaes.com.tr,aaes.com.tr,"İvedik OSB 1455.Cadde No:15 Yenimahalle, Ankara",Türkiye,"AAES is an international engineering company focused on providing advanced engineering, design, manufacturing and after sales services to its clients. Our value offering lies in our in-depth technical knowledge and international business experience in several industries. We help the leading companies in their respective market segments to turn their current business goals into tangible results.",https://sahaexpo.com/en/katilimci/aaes
